,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,,,,,,,,,,,
,,,,15,16,,,,,air filter positions 1,,sensor A,,,,,,,,
,,,,morning,morning,,,,,,Teachers' desk,,,,,,,,,
,,,,,"easton, jx",,,,,,,,,,,,,,,
,,,,afternoon,afternoon,,,,,,,,,Set1,,done?,,Set2,,done?
,,,,"yy, jx",yy,,,tables,,,,,,air filter,aircon,1,,air filter,aircon,
,17,18,19,,,,,,,,,,,1,off,,,1,on,
,morning,morning,morning ,,,,,4,,3,,2,,2,pff,,,2,on,
,easton,"jx, easton",jx,,,,,,,sensor B,,,,3,off,,,3,on,
,afternoon,afternoon,afternoon,,,,,,,5,,,,4,off,,,4,on,
,yy,yy,jx,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,sensor C,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sensor-airfilter,,,,,,,,,,
experiment no.,sensor position,aircon,time,date,calibration?,notes,,airfilter-aircon,A,B,C,,,,,,,,,
1,1,0,15:20-16:20,16 Dec,,"SetA-posC, SetC-posA",,2.68,2.896,3.802,6.132,,,,,,,,,
2,5,0,10:22-11:30,19 Dec,10:04 - 10:14,"SetA-posC, SetC-posA",,2.68,3.423,0.4243,2.933,,,,,,,,,
3,2,0,12:39-13:44,19 Dec,,"SetA-posC, SetC-posA",,1.61,1.24,2.827,5.595,,,,,,,,,
4,3,0,14:52-15:58,19 Dec,,SetA - at posA,,2.68,2.684,0.9487,3.693,,,,,,,,,
5,4,0,16:03-17:52,19 Dec,,SetA - at posA,,4.9,4.674,2.12,2.717,,,,,,,,,
6,2,1,10:30-11:45,20 Dec,10:10-10:27,"SetA-posC, SetC-posA",,1.61,1.24,2.827,5.595,,,,,,,,,
7,3,1,11:59-13:00,20 Dec,,"SetA-posC, SetC-posA",,2.68,2.684,0.9487,3.693,,,,,,,,,
8,4,1,13:40-14:40,20 Dec,13:25-13:39,SetA - at posA,,4.9,4.674,2.12,2.717,,,,,,,,,
9,4-elevated,1,14:57-15:57,20 Dec,,SetA - at posA,,4.9,4.674,2.12,2.717,,,,,,,,,
10,3-elevated,1,9:12-10:12,21 Dec,8:52-8:57; 8:58-9:07,SetA - at posA,,2.68,2.684,0.9487,3.693,,,,,,,,,
11,2-elevated,1,10:31-11:32,21 Dec,,SetA - at posA,,1.61,1.24,2.827,5.595,,,,,,,,,
12,5,1,11:46-12:46,21 Dec,,SetA - at posA,,2.68,3.423,0.4243,2.933,,,,,,,,,
13,5-elevated,1,13:01-14:01,21 Dec,,SetA - at posA,,2.68,3.423,0.4243,2.933,,,,,,,,,
14,3,1,14:13-15:30,21 Dec,,,,2.68,2.684,0.9487,3.693,,,,,,,,,
