Curve fitting results,,,,,,,,,Curve fitting results,,,,,,,,,Curve fitting results
,,,,,,,,,,,,,,,,,,
Pos B pm10 (raw),,,,,Pos B pm10 (normalised),,,,,Pos B pm25 (normalised),,,,,Pos B pm25 (normalised),,,
1,1.50E+02,1.13E-02,-1.46E+01, ,1,1.50E+02,1.13E-02,-1.46E+01,,1,8.17E+01,1.02E-02,-1.06E+01,,1,8.17E+01,1.02E-02,-1.06E+01
2,1.58E+02,1.17E-02,-1.08E+00,,2,1.42E+02,1.16E-02,-1.78E+00,,2,7.26E+01,1.03E-02,-1.51E+00,,2,7.26E+01,1.03E-02,-1.51E+00
3,1.44E+02,1.75E-02,1.59E+01,,3,1.24E+02,1.60E-02,1.19E+01,,3,8.79E+01,1.71E-02,1.19E+01,,3,7.83E+01,1.62E-02,1.06E+01
4,1.45E+02,1.68E-02,7.29E+00,,4,1.24E+02,1.91E-02,1.25E+01,,4,1.14E+02,1.74E-02,7.19E+00,,4,8.44E+01,1.87E-02,9.65E+00
5,1.36E+02,1.43E-02,6.79E+00,,5,1.36E+02,1.43E-02,6.79E+00,,5,6.47E+01,1.17E-02,-2.67E-01,,5,6.47E+01,1.17E-02,-2.67E-01
6,,,,,6,,,,,6,,,,,6,,,
7,1.20E+02,1.48E-02,5.26E-01,,7,,,,,7,6.04E+01,1.30E-02,-2.08E+00,,7,6.04E+01,1.30E-02,-2.08E+00
8,1.36E+02,1.88E-02,1.19E+01,,8,1.26E+02,1.82E-02,1.05E+01,,8,6.87E+01,1.89E-02,6.90E+00,,8,6.87E+01,1.89E-02,6.90E+00
9,1.45E+02,2.07E-02,1.40E+01,,9,1.23E+02,2.13E-02,1.51E+01,,9,9.41E+01,2.12E-02,1.01E+01,,9,8.64E+01,2.16E-02,1.05E+01
10,1.27E+02,2.16E-02,1.15E+01,,10,1.27E+02,2.16E-02,1.15E+01,,10,1.05E+02,2.35E-02,1.13E+01,,10,8.51E+01,2.07E-02,8.14E+00
11,1.71E+02,1.96E-02,8.18E+00,,11,1.33E+02,1.86E-02,5.94E+00,,11,9.14E+01,2.10E-02,6.94E+00,,11,8.77E+01,2.11E-02,7.08E+00
12,1.51E+02,2.14E-02,9.91E+00,,12,1.27E+02,2.19E-02,1.08E+01,,12,9.21E+01,2.23E-02,7.15E+00,,12,8.82E+01,2.25E-02,7.37E+00
13,1.27E+02,2.07E-02,8.88E+00,,13,1.27E+02,2.07E-02,8.88E+00,,13,8.20E+01,2.20E-02,7.40E+00,,13,8.20E+01,2.20E-02,7.40E+00
14,1.46E+02,1.82E-02,9.42E+00,,14,1.28E+02,1.77E-02,8.42E+00,,14,7.95E+01,1.77E-02,5.55E+00,,14,7.95E+01,1.77E-02,5.55E+00
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Pos A pm10 (raw),,,,,Pos A pm10 (normalised),,,,,Pos A pm25 (raw),,,,,Pos A pm25 (raw),,,
1,,,,,1,,,,,1,8.15E+01,2.48E-02,1.26E+01,,1,8.15E+01,2.48E-02,1.26E+01
2,,,,,2,,,,,2,9.45E+01,1.39E-02,4.24E+00,,2,8.54E+01,1.30E-02,1.94E+00
3,,,,,3,,,,,3,1.19E+02,2.53E-02,1.37E+01,,3,7.04E+01,2.16E-02,1.06E+01
4,1.41E+02,1.64E-02,6.89E+00,,4,1.41E+02,1.64E-02,6.89E+00,,4,1.08E+02,1.77E-02,7.41E+00,,4,8.00E+01,1.57E-02,4.16E+00
5,1.25E+02,1.55E-02,8.91E+00,,5,1.25E+02,1.55E-02,8.91E+00,,5,5.82E+01,1.31E-02,1.35E+00,,5,5.82E+01,1.31E-02,1.35E+00
6,,,,,6,,,,,6,,,,,6,,,
7,9.84E+01,1.79E-02,1.19E+01,,7,"9.84337030e+01,","1.79235096e-02, ",1.19E+01,,7,8.55E+01,1.75E-02,6.88E+00,,7,8.33E+01,1.32E-02,1.98E+00
8,1.42E+02,1.90E-02,1.31E+01,,8,1.27E+02,1.84E-02,1.16E+01,,8,7.37E+01,1.99E-02,9.30E+00,,8,7.37E+01,1.99E-02,9.30E+00
