id,value,feed_id,created_at,lat,lon,ele
0F6BZ7MW3AC465PG11XHX5RBBB,100815,2409791,2022-12-16 05:40:21 UTC,,,
0F6BZA53V5JMC43ABZX33E4G8J,100811,2409791,2022-12-16 05:44:44 UTC,,,
0F6BZAFKQ83Y2T4VF0ES82J56C,100799,2409791,2022-12-16 05:45:19 UTC,,,
0F6BZAT3YAGBG5YWP0ZCJPHJVP,100805,2409791,2022-12-16 05:45:53 UTC,,,
0F6BZB4QVPX3A8X0BBHQQMEMXH,100797,2409791,2022-12-16 05:46:28 UTC,,,
0F6BZBF6Y4BZV7ESQF8RXCVSQ3,100801,2409791,2022-12-16 05:47:02 UTC,,,
0F6BZBSPGWWPHFR1MV2V0ZPJ9P,100804,2409791,2022-12-16 05:47:37 UTC,,,
0F6BZC458571CQ2J9TMEJ1A6WZ,100797,2409791,2022-12-16 05:48:11 UTC,,,
0F6BZCEKQ0GW2HT08T2RY52NWX,100805,2409791,2022-12-16 05:48:45 UTC,,,
0F6BZCS39FQTQM7TD9R9447MVM,100798,2409791,2022-12-16 05:49:19 UTC,,,
0F6BZD3JS5HYZMXV4JJBMGYMK7,100797,2409791,2022-12-16 05:49:54 UTC,,,
0F6BZDE7S9PEX1H914MQYXCHE4,100797,2409791,2022-12-16 05:50:29 UTC,,,
0F6BZDRRJPA6SXHZ3JAW3WW55F,100796,2409791,2022-12-16 05:51:03 UTC,,,
0F6BZE377RXJG8Y8F4YVDC700B,100796,2409791,2022-12-16 05:51:38 UTC,,,
0F6BZEDPD4HKDK8XTXV2W2J454,100787,2409791,2022-12-16 05:52:12 UTC,,,
0F6BZER4XTZXQED8PQWVPRF5W9,100787,2409791,2022-12-16 05:52:46 UTC,,,
0F6BZF2QX9J4T044H7HC5A8CPK,100787,2409791,2022-12-16 05:53:21 UTC,,,
0F6BZFD8HZWBAEDZ9FVPGS6QPM,100788,2409791,2022-12-16 05:53:55 UTC,,,
0F6BZFQR28JGB4380EJKXZKMTC,100787,2409791,2022-12-16 05:54:30 UTC,,,
0F6BZG27S446Y5S57B5D1FF56F,100789,2409791,2022-12-16 05:55:04 UTC,,,
0F6BZGCS29YFP8MKMMHTR4V98N,100782,2409791,2022-12-16 05:55:39 UTC,,,
0F6BZGQ94K2TZ2Y7P7D4RBK2FQ,100784,2409791,2022-12-16 05:56:13 UTC,,,
0F6BZH1TJDK0QEJJ631FD62B1J,100771,2409791,2022-12-16 05:56:48 UTC,,,
0F6BZHCM5F6WEW334PD3862VBD,100779,2409791,2022-12-16 05:57:23 UTC,,,
0F6BZHQ5926HWHFYSC1T6832P5,100776,2409791,2022-12-16 05:57:57 UTC,,,
0F6BZJ35STB2T0MS0N0NMAP4X6,100774,2409791,2022-12-16 05:58:37 UTC,,,
0F6BZJDN8CXCJBBN41YREQ9A6J,100774,2409791,2022-12-16 05:59:11 UTC,,,
0F6BZJSQ22R3VVCHK5EVE1MRKA,100770,2409791,2022-12-16 05:59:51 UTC,,,
0F6BZK4A9B4ZXSTT0582MMZBM7,100769,2409791,2022-12-16 06:00:25 UTC,,,
0F6BZKF4YEW94W1EHQK05QEQRN,100772,2409791,2022-12-16 06:01:01 UTC,,,
0F6BZKSMBM09RMMD5H26WQ2PZ3,100767,2409791,2022-12-16 06:01:35 UTC,,,
0F6BZM42BWYXWXJEFNK63R522A,100766,2409791,2022-12-16 06:02:09 UTC,,,
0F6C0NHPA55EYXBJ1P96AW71PX,100640,2409791,2022-12-16 07:00:34 UTC,,,
0F6C0NW5CBPFQMNBEQSKHV1H8E,100634,2409791,2022-12-16 07:01:09 UTC,,,
0F6C0P6KDPQMX6ZQY0KV9N0NCQ,100634,2409791,2022-12-16 07:01:43 UTC,,,
0F6C0PJX5TPEAC30C3136XT5EX,100634,2409791,2022-12-16 07:02:23 UTC,,,
0F6C0S0MC7TY65BA9GXSV01EFJ,100631,2409791,2022-12-16 07:06:38 UTC,,,
0F6C0TAH0MHBWKP24B3110E3YW,100626,2409791,2022-12-16 07:08:55 UTC,,,
0F6C0TJ7XG4BC0DMV2SKHE8F8H,100627,2409791,2022-12-16 07:09:20 UTC,,,
0F6C0VEBJAHFY7R2QE89HVDAFN,100624,2409791,2022-12-16 07:10:53 UTC,,,
0F6C0VTCM5GK8F2EF7FT0Y2V2M,100619,2409791,2022-12-16 07:11:32 UTC,,,
0F6C0WRAEBZ3Z7MKPWDGNNXZ67,100620,2409791,2022-12-16 07:13:10 UTC,,,
0F6C0X1AM5336XY6PC7HT06WY5,100621,2409791,2022-12-16 07:13:40 UTC,,,
0F6C0XABCHVAR7MMKJFBMYPMN8,100612,2409791,2022-12-16 07:14:09 UTC,,,
0F6C0XKDQG0KK8J2R5DN3X1W42,100610,2409791,2022-12-16 07:14:39 UTC,,,
0F6C0XWEGHANE910V5DJHEQMGS,100617,2409791,2022-12-16 07:15:08 UTC,,,
0F6C0Y5G883NY91BTGV9J8Z0SX,100612,2409791,2022-12-16 07:15:38 UTC,,,
0F6C0YEHS8Y6K0WC5VFZ4HPVR1,100607,2409791,2022-12-16 07:16:08 UTC,,,
0F6C0YQP2DBF36B5HY8MVWP4VZ,100612,2409791,2022-12-16 07:16:38 UTC,,,
0F6C0Z0PKP75P649PWF9SKH9P6,100608,2409791,2022-12-16 07:17:07 UTC,,,
0F6C0Z9RJMMB5CHAMZGCATYYC5,100612,2409791,2022-12-16 07:17:37 UTC,,,
0F6C0ZJRZ7A6CQSMKJ483PC5J3,100605,2409791,2022-12-16 07:18:06 UTC,,,
0F6C0ZVRFB6P9B2MK1HW4K8GV7,100610,2409791,2022-12-16 07:18:36 UTC,,,
0F6C104RP4358NFH2QXBDMF3V0,100608,2409791,2022-12-16 07:19:05 UTC,,,
0F6C10DT03Z34YK2HFFQGRF72B,100607,2409791,2022-12-16 07:19:35 UTC,,,
0F6C10PT40H3DJ5DAT9SRCQ5VX,100608,2409791,2022-12-16 07:20:05 UTC,,,
0F6C10ZVMG8PQ9KA12X5QKZYNZ,100608,2409791,2022-12-16 07:20:34 UTC,,,
0F6C118VQ0JMQBGW4N69B9TKPA,100607,2409791,2022-12-16 07:21:04 UTC,,,
0F6C11HW4J6SFP2X19GKMJRDEE,100608,2409791,2022-12-16 07:21:33 UTC,,,
0F6C11TXE61M29NP3SWMQQ97YD,100604,2409791,2022-12-16 07:22:03 UTC,,,
0F6C1243S4Q0JDYBN7KC829ZTN,100608,2409791,2022-12-16 07:22:33 UTC,,,
0F6C12DNA3N5A59P3EH604KJYB,100611,2409791,2022-12-16 07:23:04 UTC,,,
0F6C12PNMZAM797M9YYARTFD0N,100609,2409791,2022-12-16 07:23:34 UTC,,,
0F6C12ZP7RV4JE5QYKEBC146C0,100609,2409791,2022-12-16 07:24:03 UTC,,,
0F6C138RSM9QJYKVW7DX283FXQ,100603,2409791,2022-12-16 07:24:33 UTC,,,
0F6C13HS9J6446VRRETFATY6HA,100605,2409791,2022-12-16 07:25:03 UTC,,,
0F6C13XXEJQJEEQ4ZH34NMYZDK,100606,2409791,2022-12-16 07:25:42 UTC,,,
0F6C146WY7TQYJYWZG115TWZ0N,100607,2409791,2022-12-16 07:26:12 UTC,,,
0F6C14HFRFY1H848GDYP137K2D,100607,2409791,2022-12-16 07:26:47 UTC,,,
0F6C14TJ0QRH05NTVH4W76H1N4,100605,2409791,2022-12-16 07:27:16 UTC,,,
0F6C153HWPH1F6VC9BN38M26EE,100602,2409791,2022-12-16 07:27:46 UTC,,,
0F6C15CJNF60M3S5T339AY3D3M,100607,2409791,2022-12-16 07:28:15 UTC,,,
0F6C15NNB80WZH10SV03VRTHXC,100607,2409791,2022-12-16 07:28:45 UTC,,,
0F6C15YQ3TYH86N932QYQTK9HX,100604,2409791,2022-12-16 07:29:15 UTC,,,
0F6C167QBWF0ZMQKEEG8KEE7HH,100608,2409791,2022-12-16 07:29:44 UTC,,,
0F6C16GR0W6PEDQZWWRME377F1,100602,2409791,2022-12-16 07:30:14 UTC,,,
0F6C16ST6JJ8RTG1EGXJRACRK0,100606,2409791,2022-12-16 07:30:44 UTC,,,
0F6C172V26Q4W2Q1F41YEV2PC1,100605,2409791,2022-12-16 07:31:13 UTC,,,
0F6C17BWRJYN4D8HTWGAWACH7K,100605,2409791,2022-12-16 07:31:43 UTC,,,
0F6C17MY470KFTMEN4DMRDWK02,100599,2409791,2022-12-16 07:32:12 UTC,,,
