id,value,feed_id,created_at,lat,lon,ele
0F6BZ7MJHEPW8KAF4AJ8150QDT,24.9,2409790,2022-12-16 05:40:20 UTC,,,
0F6BZA4SWRR25MBM9ZSEC4Q9H6,24.7,2409790,2022-12-16 05:44:43 UTC,,,
0F6BZAF9ZBD8YBCRSH4MVBE0WX,24.5,2409790,2022-12-16 05:45:18 UTC,,,
0F6BZASSRRQEGMAT9Q1NHJ3JD7,24.5,2409790,2022-12-16 05:45:52 UTC,,,
0F6BZB4E4RZGH6Z51JR0TJK0WZ,24.4,2409790,2022-12-16 05:46:27 UTC,,,
0F6BZBEXCYFN74MAQBTFCGFSZV,24.3,2409790,2022-12-16 05:47:01 UTC,,,
0F6BZBSCMXQCFRHR8MVG8HCXMN,24.3,2409790,2022-12-16 05:47:36 UTC,,,
0F6BZC3VKXXR1W6V2ED12E6PEE,24.3,2409790,2022-12-16 05:48:10 UTC,,,
0F6BZCE9Q0T6GQPAF1P5YETRD2,24.3,2409790,2022-12-16 05:48:44 UTC,,,
0F6BZCRSN86RDWGMNAZP69HTVX,24.3,2409790,2022-12-16 05:49:18 UTC,,,
0F6BZD391GQWR7JQARDZSSHDMP,24.3,2409790,2022-12-16 05:49:53 UTC,,,
0F6BZDDY69RGJ9DE244NHV1W0T,24.2,2409790,2022-12-16 05:50:28 UTC,,,
0F6BZDRERGJ6JNTRGP72EGG8Q9,24.1,2409790,2022-12-16 05:51:02 UTC,,,
0F6BZE2XEBBD14GWEFC822AEBQ,24.1,2409790,2022-12-16 05:51:37 UTC,,,
0F6BZEDCGS5TXS494BWS3DNQVR,24.1,2409790,2022-12-16 05:52:11 UTC,,,
0F6BZEQVF3F0ANE1Z639WQ1XGS,24.2,2409790,2022-12-16 05:52:45 UTC,,,
0F6BZF2DRMQQ03PFH5P43KTZZD,24.1,2409790,2022-12-16 05:53:20 UTC,,,
0F6BZFCYJTQPNQVXFFPRE7AVJP,24.4,2409790,2022-12-16 05:53:54 UTC,,,
0F6BZFQEBMFJCZT76PNNERFYY5,24.4,2409790,2022-12-16 05:54:29 UTC,,,
0F6BZG1XFWWS802SMHCANTB9HR,24.3,2409790,2022-12-16 05:55:03 UTC,,,
0F6BZGCF5F0MR19HBD339ZZF6H,24.3,2409790,2022-12-16 05:55:38 UTC,,,
0F6BZGPZAK26G6504T22WZ3C1N,24.4,2409790,2022-12-16 05:56:12 UTC,,,
0F6BZH1GNGNTKQXCPQSNW9Y9RQ,24.4,2409790,2022-12-16 05:56:46 UTC,,,
0F6BZHCA65JM9CF5YZ4G1S7AEN,24.4,2409790,2022-12-16 05:57:22 UTC,,,
0F6BZHPVKVRD69CECDYMDXJE43,24.5,2409790,2022-12-16 05:57:56 UTC,,,
0F6BZJ1ARFR0119AR0TC5EZ04Y,24.5,2409790,2022-12-16 05:58:31 UTC,,,
0F6BZJDBA336B8X1Q1F0FN3W0J,24.5,2409790,2022-12-16 05:59:10 UTC,,,
0F6BZJQVXHC3F8FPD1JH3714RB,24.4,2409790,2022-12-16 05:59:45 UTC,,,
0F6BZK3ZPW56F06AXWPMVBNE6B,24.6,2409790,2022-12-16 06:00:24 UTC,,,
0F6BZKETMP2R97STJ64SAADRDF,25.1,2409790,2022-12-16 06:01:00 UTC,,,
0F6BZKSAHP9M72B64HYCY0A7CM,25.8,2409790,2022-12-16 06:01:34 UTC,,,
0F6BZM3R9WNEWBW6JYJE8542SM,26.5,2409790,2022-12-16 06:02:08 UTC,,,
0F6C0NHCFGSNAAK88XDA506SZE,28.6,2409790,2022-12-16 07:00:33 UTC,,,
0F6C0NVV86PJQYSVXMHSE75PT5,29.0,2409790,2022-12-16 07:01:08 UTC,,,
0F6C0P6A8DVY35PGKCD61H42MN,29.2,2409790,2022-12-16 07:01:42 UTC,,,
0F6C0PJJHWVMQYT53PDE876RJS,29.5,2409790,2022-12-16 07:02:22 UTC,,,
0F6C0S0AWA4G8Q6FZMH6NVZ25V,30.1,2409790,2022-12-16 07:06:37 UTC,,,
0F6C0TA73AZGAJ5Y4J16RRHVTC,30.4,2409790,2022-12-16 07:08:54 UTC,,,
0F6C0THXM4MQAC2KWN488MRGTW,30.4,2409790,2022-12-16 07:09:19 UTC,,,
0F6C0VE28PTMH7VS7111CE3K1S,30.5,2409790,2022-12-16 07:10:52 UTC,,,
0F6C0VQ1459H29JCJ1XT21N8C3,30.6,2409790,2022-12-16 07:11:21 UTC,,,
0F6C0VT394QZP2S28Y0AP4SSBH,30.6,2409790,2022-12-16 07:11:31 UTC,,,
0F6C0WR0K2ZQGVW673E4SXHYEH,30.9,2409790,2022-12-16 07:13:09 UTC,,,
0F6C0X117KH53P2K2V20F5YXEW,30.9,2409790,2022-12-16 07:13:39 UTC,,,
0F6C0XA0SZ96HBDBK9VYBRDT5S,31.0,2409790,2022-12-16 07:14:08 UTC,,,
0F6C0XK2SES9DW2N1V5EFQCM2B,30.9,2409790,2022-12-16 07:14:38 UTC,,,
0F6C0XW4HGYBR4AEQS4E8Q4CFA,31.1,2409790,2022-12-16 07:15:07 UTC,,,
0F6C0Y55ZM6DCXQJRZDART3AR1,31.1,2409790,2022-12-16 07:15:37 UTC,,,
0F6C0YE7H31N9BD3WYV4EPFR2Z,31.1,2409790,2022-12-16 07:16:07 UTC,,,
0F6C0YQBM6EVV1C6X9D1P453FJ,31.3,2409790,2022-12-16 07:16:37 UTC,,,
0F6C0Z0CQE8BRGMETXZG0T39G0,31.3,2409790,2022-12-16 07:17:06 UTC,,,
